"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title"
254,"FALSE","3","male",30,1,0,16.1,"S","Mr"
255,"FALSE","3","female",41,0,2,20.2125,"S","Mrs"
256,"TRUE","3","female",29,0,2,15.2458,"C","Mrs"
257,"TRUE","1","female",35.6542056074766,0,0,79.2,"C","Mrs"
258,"TRUE","1","female",30,0,0,86.5,"S","Miss"
259,"TRUE","1","female",35,0,0,512.3292,"C","Miss"
260,"TRUE","2","female",50,0,1,26,"S","Mrs"
261,"FALSE","3","male",32.3680904522613,0,0,7.75,"Q","Mr"
262,"TRUE","3","male",3,4,2,31.3875,"S","Master"
263,"FALSE","1","male",52,1,1,79.65,"S","Mr"
264,"FALSE","1","male",40,0,0,0,"S","Mr"
265,"FALSE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
266,"FALSE","2","male",36,0,0,10.5,"S","Mr"
267,"FALSE","3","male",16,4,1,39.6875,"S","Mr"
268,"TRUE","3","male",25,1,0,7.775,"S","Mr"
269,"TRUE","1","female",58,0,1,153.4625,"S","Mrs"
270,"TRUE","1","female",35,0,0,135.6333,"S","Miss"
271,"FALSE","1","male",32.3680904522613,0,0,31,"S","Mr"
272,"TRUE","3","male",25,0,0,0,"S","Mr"
273,"TRUE","2","female",41,0,1,19.5,"S","Mrs"
274,"FALSE","1","male",37,0,1,29.7,"C","Mr"
275,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
276,"TRUE","1","female",63,1,0,77.9583,"S","Miss"
277,"FALSE","3","female",45,0,0,7.75,"S","Miss"
278,"FALSE","2","male",32.3680904522613,0,0,0,"S","Mr"
279,"FALSE","3","male",7,4,1,29.125,"Q","Master"
280,"TRUE","3","female",35,1,1,20.25,"S","Mrs"
281,"FALSE","3","male",65,0,0,7.75,"Q","Mr"
282,"FALSE","3","male",28,0,0,7.8542,"S","Mr"
283,"FALSE","3","male",16,0,0,9.5,"S","Mr"
284,"TRUE","3","male",19,0,0,8.05,"S","Mr"
285,"FALSE","1","male",32.3680904522613,0,0,26,"S","Mr"
286,"FALSE","3","male",33,0,0,8.6625,"C","Mr"
287,"TRUE","3","male",30,0,0,9.5,"S","Mr"
288,"FALSE","3","male",22,0,0,7.8958,"S","Mr"
289,"TRUE","2","male",42,0,0,13,"S","Mr"
290,"TRUE","3","female",22,0,0,7.75,"Q","Miss"
291,"TRUE","1","female",26,0,0,78.85,"S","Miss"
292,"TRUE","1","female",19,1,0,91.0792,"C","Mrs"
293,"FALSE","2","male",36,0,0,12.875,"C","Mr"
294,"FALSE","3","female",24,0,0,8.85,"S","Miss"
295,"FALSE","3","male",24,0,0,7.8958,"S","Mr"
296,"FALSE","1","male",32.3680904522613,0,0,27.7208,"C","Mr"
297,"FALSE","3","male",23.5,0,0,7.2292,"C","Mr"
298,"FALSE","1","female",2,1,2,151.55,"S","Miss"
299,"TRUE","1","male",32.3680904522613,0,0,30.5,"S","Mr"
300,"TRUE","1","female",50,0,1,247.5208,"C","Mrs"
301,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
302,"TRUE","3","male",32.3680904522613,2,0,23.25,"Q","Mr"
303,"FALSE","3","male",19,0,0,0,"S","Mr"
304,"TRUE","2","female",21.6620689655172,0,0,12.35,"Q","Miss"
305,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
306,"TRUE","1","male",0.92,1,2,151.55,"S","Master"
307,"TRUE","1","female",21.6620689655172,0,0,110.8833,"C","Miss"
308,"TRUE","1","female",17,1,0,108.9,"C","Mrs"
309,"FALSE","2","male",30,1,0,24,"C","Mr"
310,"TRUE","1","female",30,0,0,56.9292,"C","Miss"
311,"TRUE","1","female",24,0,0,83.1583,"C","Miss"
312,"TRUE","1","female",18,2,2,262.375,"C","Miss"
313,"FALSE","2","female",26,1,1,26,"S","Mrs"
314,"FALSE","3","male",28,0,0,7.8958,"S","Mr"
315,"FALSE","2","male",43,1,1,26.25,"S","Mr"
316,"TRUE","3","female",26,0,0,7.8542,"S","Miss"
317,"TRUE","2","female",24,1,0,26,"S","Mrs"
318,"FALSE","2","male",54,0,0,14,"S","Mr"
319,"TRUE","1","female",31,0,2,164.8667,"S","Miss"
320,"TRUE","1","female",40,1,1,134.5,"C","Mrs"
321,"FALSE","3","male",22,0,0,7.25,"S","Mr"
322,"FALSE","3","male",27,0,0,7.8958,"S","Mr"
323,"TRUE","2","female",30,0,0,12.35,"Q","Miss"
324,"TRUE","2","female",22,1,1,29,"S","Mrs"
325,"FALSE","3","male",32.3680904522613,8,2,69.55,"S","Mr"
326,"TRUE","1","female",36,0,0,135.6333,"C","Miss"
327,"FALSE","3","male",61,0,0,6.2375,"S","Mr"
328,"TRUE","2","female",36,0,0,13,"S","Mrs"
329,"TRUE","3","female",31,1,1,20.525,"S","Mrs"
330,"TRUE","1","female",16,0,1,57.9792,"C","Miss"
331,"TRUE","3","female",21.6620689655172,2,0,23.25,"Q","Miss"
332,"FALSE","1","male",45.5,0,0,28.5,"S","Mr"
333,"FALSE","1","male",38,0,1,153.4625,"S","Mr"
334,"FALSE","3","male",16,2,0,18,"S","Mr"
335,"TRUE","1","female",35.6542056074766,1,0,133.65,"S","Mrs"
336,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
337,"FALSE","1","male",29,1,0,66.6,"S","Mr"
338,"TRUE","1","female",41,0,0,134.5,"C","Miss"
339,"TRUE","3","male",45,0,0,8.05,"S","Mr"
340,"FALSE","1","male",45,0,0,35.5,"S","Mr"
341,"TRUE","2","male",2,1,1,26,"S","Master"
342,"TRUE","1","female",24,3,2,263,"S","Miss"
343,"FALSE","2","male",28,0,0,13,"S","Mr"
344,"FALSE","2","male",25,0,0,13,"S","Mr"
345,"FALSE","2","male",36,0,0,13,"S","Mr"
346,"TRUE","2","female",24,0,0,13,"S","Miss"
347,"TRUE","2","female",40,0,0,13,"S","Miss"
348,"TRUE","3","female",35.6542056074766,1,0,16.1,"S","Mrs"
349,"TRUE","3","male",3,1,1,15.9,"S","Master"
350,"FALSE","3","male",42,0,0,8.6625,"S","Mr"
351,"FALSE","3","male",23,0,0,9.225,"S","Mr"
352,"FALSE","1","male",32.3680904522613,0,0,35,"S","Mr"
353,"FALSE","3","male",15,1,1,7.2292,"C","Mr"
354,"FALSE","3","male",25,1,0,17.8,"S","Mr"
355,"FALSE","3","male",32.3680904522613,0,0,7.225,"C","Mr"
356,"FALSE","3","male",28,0,0,9.5,"S","Mr"
357,"TRUE","1","female",22,0,1,55,"S","Miss"
358,"FALSE","2","female",38,0,0,13,"S","Miss"
359,"TRUE","3","female",21.6620689655172,0,0,7.8792,"Q","Miss"
360,"TRUE","3","female",21.6620689655172,0,0,7.8792,"Q","Miss"
361,"FALSE","3","male",40,1,4,27.9,"S","Mr"
362,"FALSE","2","male",29,1,0,27.7208,"C","Mr"
363,"FALSE","3","female",45,0,1,14.4542,"C","Mrs"
364,"FALSE","3","male",35,0,0,7.05,"S","Mr"
365,"FALSE","3","male",32.3680904522613,1,0,15.5,"Q","Mr"
366,"FALSE","3","male",30,0,0,7.25,"S","Mr"
367,"TRUE","1","female",60,1,0,75.25,"C","Mrs"
368,"TRUE","3","female",35.6542056074766,0,0,7.2292,"C","Mrs"
369,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
370,"TRUE","1","female",24,0,0,69.3,"C","Mrs"
371,"TRUE","1","male",25,1,0,55.4417,"C","Mr"
372,"FALSE","3","male",18,1,0,6.4958,"S","Mr"
373,"FALSE","3","male",19,0,0,8.05,"S","Mr"
374,"FALSE","1","male",22,0,0,135.6333,"C","Mr"
375,"FALSE","3","female",3,3,1,21.075,"S","Miss"
376,"TRUE","1","female",35.6542056074766,1,0,82.1708,"C","Mrs"
377,"TRUE","3","female",22,0,0,7.25,"S","Miss"
378,"FALSE","1","male",27,0,2,211.5,"C","Mr"
379,"FALSE","3","male",20,0,0,4.0125,"C","Mr"
380,"FALSE","3","male",19,0,0,7.775,"S","Mr"
381,"TRUE","1","female",42,0,0,227.525,"C","Miss"
382,"TRUE","3","female",1,0,2,15.7417,"C","Miss"
383,"FALSE","3","male",32,0,0,7.925,"S","Mr"
384,"TRUE","1","female",35,1,0,52,"S","Mrs"
385,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
386,"FALSE","2","male",18,0,0,73.5,"S","Mr"
387,"FALSE","3","male",1,5,2,46.9,"S","Master"
388,"TRUE","2","female",36,0,0,13,"S","Miss"
389,"FALSE","3","male",32.3680904522613,0,0,7.7292,"Q","Mr"
390,"TRUE","2","female",17,0,0,12,"C","Miss"
391,"TRUE","1","male",36,1,2,120,"S","Mr"
392,"TRUE","3","male",21,0,0,7.7958,"S","Mr"
393,"FALSE","3","male",28,2,0,7.925,"S","Mr"
394,"TRUE","1","female",23,1,0,113.275,"C","Miss"
395,"TRUE","3","female",24,0,2,16.7,"S","Mrs"
396,"FALSE","3","male",22,0,0,7.7958,"S","Mr"
397,"FALSE","3","female",31,0,0,7.8542,"S","Miss"
398,"FALSE","2","male",46,0,0,26,"S","Mr"
399,"FALSE","2","male",23,0,0,10.5,"S","Mr"
400,"TRUE","2","female",28,0,0,12.65,"S","Mrs"
401,"TRUE","3","male",39,0,0,7.925,"S","Mr"
402,"FALSE","3","male",26,0,0,8.05,"S","Mr"
403,"FALSE","3","female",21,1,0,9.825,"S","Miss"
404,"FALSE","3","male",28,1,0,15.85,"S","Mr"
405,"FALSE","3","female",20,0,0,8.6625,"S","Miss"
406,"FALSE","2","male",34,1,0,21,"S","Mr"
407,"FALSE","3","male",51,0,0,7.75,"S","Mr"
408,"TRUE","2","male",3,1,1,18.75,"S","Master"
409,"FALSE","3","male",21,0,0,7.775,"S","Mr"
410,"FALSE","3","female",21.6620689655172,3,1,25.4667,"S","Miss"
411,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
412,"FALSE","3","male",32.3680904522613,0,0,6.8583,"Q","Mr"
413,"TRUE","1","female",33,1,0,90,"Q","Miss"
414,"FALSE","2","male",32.3680904522613,0,0,0,"S","Mr"
415,"TRUE","3","male",44,0,0,7.925,"S","Mr"
416,"FALSE","3","female",35.6542056074766,0,0,8.05,"S","Mrs"
417,"TRUE","2","female",34,1,1,32.5,"S","Mrs"
418,"TRUE","2","female",18,0,2,13,"S","Miss"
419,"FALSE","2","male",30,0,0,13,"S","Mr"
420,"FALSE","3","female",10,0,2,24.15,"S","Miss"
421,"FALSE","3","male",32.3680904522613,0,0,7.8958,"C","Mr"
422,"FALSE","3","male",21,0,0,7.7333,"Q","Mr"
423,"FALSE","3","male",29,0,0,7.875,"S","Mr"
424,"FALSE","3","female",28,1,1,14.4,"S","Mrs"
425,"FALSE","3","male",18,1,1,20.2125,"S","Mr"
426,"FALSE","3","male",32.3680904522613,0,0,7.25,"S","Mr"
427,"TRUE","2","female",28,1,0,26,"S","Mrs"
428,"TRUE","2","female",19,0,0,26,"S","Miss"
429,"FALSE","3","male",32.3680904522613,0,0,7.75,"Q","Mr"
430,"TRUE","3","male",32,0,0,8.05,"S","Mr"
431,"TRUE","1","male",28,0,0,26.55,"S","Mr"
432,"TRUE","3","female",35.6542056074766,1,0,16.1,"S","Mrs"
433,"TRUE","2","female",42,1,0,26,"S","Mrs"
434,"FALSE","3","male",17,0,0,7.125,"S","Mr"
435,"FALSE","1","male",50,1,0,55.9,"S","Mr"
436,"TRUE","1","female",14,1,2,120,"S","Miss"
437,"FALSE","3","female",21,2,2,34.375,"S","Miss"
438,"TRUE","2","female",24,2,3,18.75,"S","Mrs"
439,"FALSE","1","male",64,1,4,263,"S","Mr"
440,"FALSE","2","male",31,0,0,10.5,"S","Mr"
441,"TRUE","2","female",45,1,1,26.25,"S","Mrs"
442,"FALSE","3","male",20,0,0,9.5,"S","Mr"
443,"FALSE","3","male",25,1,0,7.775,"S","Mr"
444,"TRUE","2","female",28,0,0,13,"S","Miss"
